hour_ended,P Cl mg/l,P water flux mm/day,Q Cl mg/l,Q water flux mm/day,ET0 mm/day,S mm
1983-08-26,0.0,0.0,6.8,0.44064804469273744,2.2186217903539687,-45.62323441454441
1983-08-27,0.0,0.0,6.8,0.4238296089385474,2.275779793469735,-46.765455864802455
1983-08-28,0.0,0.0,6.8,0.4232262569832404,0.2937017369683078,-46.86877900311551
1983-08-29,0.0,0.0,6.8,0.4056787709497208,2.5175715397678307,-47.97779485620421
1983-08-30,0.0,0.0,6.8,0.3933100558659218,2.705057180639492,-48.965960885215004
1983-08-31,5.3,7.926874445,7.9,0.4443184357541898,1.7284623537411363,-45.60147602897839
1983-09-01,5.3,8.981029024999998,7.9,0.7303324022346369,1.6220227222972767,-31.06566084570178
1983-09-02,5.3,41.8552063,7.9,2.8884972067039105,0.8236983456619991,-7.032551550725616
1983-09-03,5.3,55.657861455,7.9,29.47027374301676,0.6593413557312902,37.56897819602489
1983-09-04,5.3,7.1724686900000005,7.9,7.536192737430168,0.8236735536680225,16.785572724616202
1983-09-05,0.0,0.0,7.9,4.028053072625698,1.8278573490249053,5.866794656346076
1983-09-06,0.0,0.0,7.9,2.9677877094972067,1.6371148806728648,-0.16497141076489485
1983-09-07,0.0,0.0,7.6,2.408832402234637,1.8176003738483888,-4.340772260924917
1983-09-08,5.3,23.38528584,7.6,4.6470167597765375,0.24479296402989623,9.343982994234288
1983-09-09,5.3,9.18081137,7.6,5.549530726256983,1.0093110691654892,11.33967207308726
1983-09-10,5.3,23.883546105,7.6,7.908134078212293,0.3753821478430246,18.79827056588091
1983-09-11,5.3,2.064070055,7.6,7.219935754189943,0.5747295467065153,16.1495933668606
1983-09-12,0.0,0.0,7.6,4.5469106145251414,0.8057665715484563,7.9073802116420495
1983-09-13,5.3,8.987591440000003,7.6,4.137863128491619,0.2515219719739554,5.915538255531168
1983-09-14,5.3,10.12882235,8.5,4.1331368715083805,0.7026845045165395,5.8806848722922425
1983-09-15,5.3,27.343317580000004,8.5,7.801391061452513,0.6062228298718164,16.559476002579938
1983-09-16,5.3,33.19374959,8.5,23.87368156424581,0.4121159712813855,32.95563827057681
1983-09-17,5.3,26.48007671,11.5,14.24677374301676,0.7163801027470419,24.735664183691487
1983-09-18,5.3,18.58029183,11.5,25.849835195530723,1.3365742559106584,36.31345334433654
1983-09-19,5.3,28.549028615000005,11.5,26.4521061452514,0.7657735021805516,34.67858293816893
1983-09-20,5.3,11.38880321,8.8,11.693237430167596,0.5935540781181998,23.20025017227729
1983-09-21,2.4,17.265666149999998,8.2,15.258670391061456,0.3169187440393328,27.529541344463645
1983-09-22,2.4,0.4960068199999999,8.2,9.361432960893856,0.8618065554310587,19.99562310455152
1983-09-23,2.4,0.32865641999999995,8.2,6.201402234636871,0.7555550500797511,13.283146365949587
1983-09-24,2.4,0.16735039999999998,8.2,4.586254189944135,1.3952060781625237,7.96065518533188
1983-09-25,0.0,0.0,8.2,3.7117206703910615,1.3101686245938031,4.028640353533119
1983-09-26,0.0,0.0,8.2,3.2007821229050286,0.8450783035976565,1.1783646643867758
1983-09-27,2.4,0.4960068199999999,8.2,2.8097094972067045,1.6536880844586646,-1.314640380238309
1983-09-28,0.0,0.0,7.7,2.4696452513966483,1.1932654232756217,-3.925014130859777
1983-09-29,0.6660537455116452,0.24999999999999994,7.7,2.225061452513967,0.5837643627385491,-6.07122530991554
1983-09-30,1.3886038096528137,0.4999999999999999,7.7,2.0008910614525144,0.2094759079628908,-8.26718466921114
1983-10-01,5.098943984529076,6.0,7.7,1.9102625698324016,0.3813285035830293,-9.391706334573886
1983-10-02,1.103338385965951,6.5,7.7,1.9221787709497204,0.8848045714498198,-9.266248136136124
1983-10-03,2.410354782758987,13.000000000000002,7.7,2.7786871508379893,0.39108702303375353,-0.7071984273246992
1983-10-04,3.95,6.0,,2.6771983240223465,0.4226356788044696,-2.16388837793954
1983-10-05,3.95,7.749999999999999,,2.8560418994413403,0.5149499680066725,-1.1751082321995256
1983-10-06,3.95,5.25,,2.7267737430167585,0.5498208639559854,-2.0063579160036205
1983-10-07,3.95,33.5,,8.279849162011171,0.9495716275066376,20.134596042062736
1983-10-08,3.95,65.25,8.1,20.75709217877095,0.27230074196042825,35.2135389567334
1983-10-09,3.95,54.49999999999999,8.1,32.77704469273742,0.13132360563753193,37.389321583428725
1983-10-10,3.95,23.75,8.1,19.066223463687155,0.6273468129586827,32.28330568982875
