hour_ended,P Cl mg/l,P water flux mm/day,Q Cl mg/l,Q water flux mm/day,ET0 mm/day,S mm,P Mg mg/l,Q Mg mg/l
7/14/1983,0,0,6.2,0.868826816,3.948087194,-27.54266322,0,0.79
7/15/1983,0,0,6.2,0.868826816,4.137835849,-27.54266322,0,0.79
7/16/1983,5.3,0.5,6.2,0.868826816,2.975324819,-27.54266322,0.34,0.79
7/17/1983,5.3,0.770158825,6.2,0.868826816,2.697129019,-27.54266322,0.34,0.79
7/18/1983,5.3,4.682046435,6.2,1.067656425,1.922090976,-21.80720676,0.34,0.79
7/19/1983,0,0,6.2,0.870938547,2.921078253,-27.30636818,0,0.79
7/20/1983,0,0,6.4,0.78149162,2.674348001,-30.14943896,0,0.81
7/21/1983,0,0,6.4,0.694256983,3.947414653,-32.84751413,0,0.81
7/22/1983,0,0,6.4,0.597041899,1.354962003,-37.21231477,0,0.81
7/23/1983,0,0,6.4,0.583265363,1.490776439,-37.87137231,0,0.81
7/24/1983,0,0,6.4,0.561544693,0.846557917,-38.86281334,0,0.81
7/25/1983,0,0,6.4,0.535977654,2.68369961,-40.11020312,0,0.81
7/26/1983,0,0,6.4,0.508701117,2.809754603,-41.58011647,0,0.81
7/27/1983,0,0,6.4,0.486351955,2.760462019,-42.84844568,0,0.81
7/28/1983,0,0,6.4,0.468804469,3.075443376,-43.89502524,0,0.81
7/29/1983,0,0,6.4,0.450226257,3.92181719,-44.98856236,0,0.81
7/30/1983,0,0,6.4,0.440522346,3.23230361,-45.65715266,0,0.81
7/31/1983,5.3,10.72284153,6.4,0.582712291,1.072652985,-37.00853585,0.34,0.81
8/1/1983,5.3,2.5,6.4,0.569865922,1.402535453,-38.21894979,0.34,0.81
8/2/1983,5.3,10,6.5,0.781592179,1.46382195,-29.53491747,0.34,0.74
8/3/1983,0,0,6.5,0.563681564,2.869170891,-38.49644992,0,0.74
8/4/1983,5.3,0.75,6.5,0.51903352,0.994009164,-41.07856212,0.34,0.74
8/5/1983,5.3,0.75,6.5,0.487835196,2.994325445,-42.67564294,0.34,0.74
8/6/1983,0,0,6.4,0.455555866,3.137896803,-44.66075789,0,0.81
8/7/1983,0,0,6.4,0.438787709,2.478005958,-45.77699912,0,0.81
8/8/1983,0,0,6.4,0.436424581,1.761702698,-45.94770892,0,0.81
8/9/1983,0,0,6.4,0.42151676,2.511095329,-46.91797362,0,0.81
8/10/1983,0,0,6.1,0.413773743,2.581873228,-47.48062906,0,0.8
8/11/1983,0,0,6.1,0.404396648,3.223391068,-48.14032792,0,0.8
8/12/1983,0,0,6.1,0.399494413,2.202504002,-48.50518817,0,0.8
8/13/1983,0,0,6.1,0.387804469,3.400307397,-49.34133383,0,0.8
8/14/1983,0,0,6.1,0.380187151,3.417174526,-49.92938161,0,0.8
8/15/1983,0,0,6.1,0.378100559,1.844616992,-50.11197254,0,0.8
8/16/1983,5.3,56.50166788,6.1,1.477282123,0.543903947,-5.339579111,0.34,0.8
8/17/1983,5.3,10.59460913,6.4,1.816893855,1.273407762,-8.943909687,0.34,0.89
8/18/1983,0,0,6.4,0.825335196,2.529570099,-28.14597646,0,0.89
8/19/1983,5.3,0.133844945,6.4,0.636662011,3.073995008,-35.3261599,0.34,0.89
8/20/1983,5.3,4.92155366,6.4,0.624946927,1.307378879,-36.02574709,0.34,0.89
8/21/1983,5.3,1.95830789,6.4,0.587212291,0.973184764,-37.66478062,0.34,0.89
8/22/1983,0,0,6.4,0.546536313,2.202780946,-39.56664718,0,0.89
8/23/1983,5.3,4.681429415,6.4,0.543142458,0.648137646,-39.88867036,0.34,0.89
8/24/1983,5.3,0.38507941,6.8,0.53253352,0.382518857,-40.29640095,0.34,0.8
8/25/1983,0,0,6.8,0.484793296,1.773404458,-42.75419797,0,0.8
8/26/1983,0,0,6.8,0.440648045,2.21862179,-45.62323441,0,0.8
8/27/1983,0,0,6.8,0.423829609,2.275779793,-46.76545586,0,0.8
8/28/1983,0,0,6.8,0.423226257,0.293701737,-46.868779,0,0.8
8/29/1983,0,0,6.8,0.405678771,2.51757154,-47.97779486,0,0.8
8/30/1983,0,0,6.8,0.393310056,2.705057181,-48.96596089,0,0.8
8/31/1983,5.3,7.926874445,7.9,0.444318436,1.728462354,-45.60147603,0.34,0.99
9/1/1983,5.3,8.981029025,7.9,0.730332402,1.622022722,-31.06566085,0.34,0.99
9/2/1983,5.3,41.8552063,7.9,2.888497207,0.823698346,-7.032551551,0.34,0.99
9/3/1983,5.3,55.65786146,7.9,29.47027374,0.659341356,37.5689782,0.34,0.99
9/4/1983,5.3,7.17246869,7.9,7.536192737,0.823673554,16.78557272,0.34,0.99
9/5/1983,0,0,7.9,4.028053073,1.827857349,5.866794656,0,0.99
9/6/1983,0,0,7.9,2.967787709,1.637114881,-0.164971411,0,0.99
9/7/1983,0,0,7.6,2.408832402,1.817600374,-4.340772261,0,0.9
9/8/1983,5.3,23.38528584,7.6,4.64701676,0.244792964,9.343982994,0.34,0.9
9/9/1983,5.3,9.18081137,7.6,5.549530726,1.009311069,11.33967207,0.34,0.9
9/10/1983,5.3,23.88354611,7.6,7.908134078,0.375382148,18.79827057,0.34,0.9
9/11/1983,5.3,2.064070055,7.6,7.219935754,0.574729547,16.14959337,0.34,0.9
9/12/1983,0,0,7.6,4.546910615,0.805766572,7.907380212,0,0.9
9/13/1983,5.3,8.98759144,7.6,4.137863128,0.251521972,5.915538256,0.34,0.9
9/14/1983,5.3,10.12882235,8.5,4.133136872,0.702684505,5.880684872,0.34,0.84
9/15/1983,5.3,27.34331758,8.5,7.801391061,0.60622283,16.559476,0.34,0.84
9/16/1983,5.3,33.19374959,8.5,23.87368156,0.412115971,32.95563827,0.34,0.84
9/17/1983,5.3,26.48007671,11.5,14.24677374,0.716380103,24.73566418,0.34,0.83
9/18/1983,5.3,18.58029183,11.5,25.8498352,1.336574256,36.31345334,0.34,0.83
9/19/1983,5.3,28.54902862,11.5,26.45210615,0.765773502,34.67858294,0.34,0.83
9/20/1983,5.3,11.38880321,8.8,11.69323743,0.593554078,23.20025017,0.34,0.86
9/21/1983,2.4,17.26566615,8.2,15.25867039,0.316918744,27.52954134,0.14,0.74
9/22/1983,2.4,0.49600682,8.2,9.361432961,0.861806555,19.9956231,0.14,0.74
9/23/1983,2.4,0.32865642,8.2,6.201402235,0.75555505,13.28314637,0.14,0.74
9/24/1983,2.4,0.1673504,8.2,4.58625419,1.395206078,7.960655185,0.14,0.74
9/25/1983,0,0,8.2,3.71172067,1.310168625,4.028640354,0,0.74
9/26/1983,0,0,8.2,3.200782123,0.845078304,1.178364664,0,0.74
9/27/1983,2.4,0.49600682,8.2,2.809709497,1.653688084,-1.31464038,0.14,0.74
9/28/1983,0,0,7.7,2.469645251,1.193265423,-3.925014131,0,0.88
9/29/1983,0.666053746,0.25,7.7,2.225061453,0.583764363,-6.07122531,0.21,0.88
9/30/1983,1.38860381,0.5,7.7,2.000891061,0.209475908,-8.267184669,0.21,0.88
10/1/1983,5.098943985,6,7.7,1.91026257,0.381328504,-9.391706335,0.21,0.88
10/2/1983,1.103338386,6.5,7.7,1.922178771,0.884804571,-9.266248136,0.21,0.88
10/3/1983,2.410354783,13,7.7,2.778687151,0.391087023,-0.707198427,0.21,0.88
10/4/1983,3.95,6,,2.677198324,0.422635679,-2.163888378,0.23,0.74
10/5/1983,3.95,7.75,,2.856041899,0.514949968,-1.175108232,0.23,0.74
10/6/1983,3.95,5.25,,2.726773743,0.549820864,-2.006357916,0.23,0.74
10/7/1983,3.95,33.5,,8.279849162,0.949571628,20.13459604,0.23,0.74
10/8/1983,3.95,65.25,8.1,20.75709218,0.272300742,35.21353896,0.23,0.66
10/9/1983,3.95,54.5,8.1,32.77704469,0.131323606,37.38932158,0.23,0.66
10/10/1983,3.95,23.75,8.1,19.06622346,0.627346813,32.28330569,0.23,0.66
10/11/1983,3.95,15.5,8.1,8.977902235,0.427610667,19.30500425,0.23,0.66
10/12/1983,18.8,12.5,10.1,7.070958101,0.306041494,15.549081,1.04,0.88
10/13/1983,18.8,15.75,10.1,5.221407821,0.28077933,10.00806243,1.04,0.88
10/14/1983,18.8,5.25,10.1,4.634572626,0.412281858,8.451661403,1.04,0.88
10/15/1983,18.8,39.5,10.1,12.25923184,0.205964772,25.27822606,1.04,0.88
10/16/1983,18.8,13.5,10.1,9.580826816,0.612666027,21.11082451,1.04,0.88
10/17/1983,18.8,37.5,10.1,9.305522346,0.411450423,20.00919151,1.04,0.88
10/18/1983,18.8,10.5,10.1,9.527078212,0.180251765,22.387642,1.04,0.88
10/19/1983,0,0,7.9,5.049201117,0.774386863,9.648449466,0,0.83
10/20/1983,0,0,7.9,4.866863128,0.466458408,8.790063594,0,0.83
10/21/1983,0,0,7.9,4.70252514,0.98989448,8.251954288,0,0.83
10/22/1983,0,0,7.9,4.083284916,0.940444483,5.783306148,0,0.83
10/23/1983,0,0,7.9,3.430357542,1.138724662,2.541007833,0,0.83
10/24/1983,0,0,7.9,2.972212291,0.704102651,-0.229666017,0,0.83
10/25/1983,12.4,0.12006417,7.9,2.628829609,0.437418119,-2.669922352,0.81,0.83
10/26/1983,0,0,8.7,2.34972905,0.590387104,-4.946119891,0,0.8
10/27/1983,8.4,3.29627742,8.7,2.177069832,0.19942058,-6.571171776,0.54,0.8
10/28/1983,8.4,2.68037234,8.7,2.022486034,0.315298938,-8.044659777,0.54,0.8
10/29/1983,0,0,8.7,1.815687151,0.538855701,-10.37074387,0,0.8
10/30/1983,8.4,8.168973285,8.7,1.986058659,0.222746039,-8.465028844,0.54,0.8
10/31/1983,8.4,0.72817714,8.7,1.794594972,0.364486602,-10.54216713,0.54,0.8
11/1/1983,8.4,17.44553348,8.7,3.370751397,0.145337627,2.937560759,0.54,0.8
11/2/1983,4.3,1.97676243,8.3,2.596550279,0.197935633,-2.771523952,0.12,0.8
11/3/1983,4.3,2.30541885,8.3,2.404407821,0.214313489,-4.54072033,0.12,0.8
11/4/1983,0,0,8.3,2.220812849,0.148593357,-6.125107434,0,0.8
11/5/1983,4.3,0.32865642,8.3,2.069773743,0.411760993,-7.609327584,0.12,0.8
11/6/1983,4.3,0.08004278,8.3,1.978868715,0.173841158,-8.577997939,0.12,0.8
11/7/1983,0,0,8.3,1.892463687,0.222264249,-9.521462057,0,0.8
11/8/1983,0,0,8.3,1.811162011,0.003413773,-10.45257766,0,0.8
11/9/1983,2.5,0.25,7.8,1.723198324,0.071925011,-11.54234553,0.19,0.87
11/10/1983,0,0,7.8,1.633977654,0.091382178,-12.68718663,0,0.87
11/11/1983,0,0,7.8,1.547673184,0.017040519,-13.88970372,0,0.87
11/12/1983,0,0,7.8,1.47451676,0.075130153,-14.97158698,0,0.87
11/13/1983,2.5,2.25,7.8,1.399625698,0.093304749,-16.14415692,0.19,0.87
11/14/1983,0,0,7.8,1.324407821,0.177425883,-17.41146926,0,0.87
11/15/1983,0,0,7.8,1.286773743,0.276094851,-18.0871482,0,0.87
11/16/1983,0,0,7.5,1.237902235,0.090785544,-18.97746968,0,0.89
11/17/1983,0,0,7.5,1.189382682,0.055735342,-19.910975,0,0.89
11/18/1983,0,0,7.5,1.136639665,0,-20.96687405,0,0.89
11/19/1983,0,0,7.5,1.092469274,0,-21.91414468,0,0.89
